"question","option_a","option_b","option_c","option_d","correct_answer","explanation"
"Which cause type answers 'why' something is happening?","Root cause","Underlying cause","Precipitating cause","Immediate cause","C","The precipitating cause answers 'why' it is happening. The immediate cause is the initial/lighter cause and the root cause is the deepest/major cause."
"In the China economic rise example what is the ROOT cause?","China joining the WTO","Growing market demand","Massive domestic structural reforms","Effects of globalization in Asia","A","The root cause is massive domestic structural reforms — the deepest/major cause. Growing market demand is the precipitating cause."
"Who introduced the concept of 'globality'?","Karl Marx","Robertson","Held and McGrew","MacKinder","B","The term 'globality' was introduced by Robertson. Karl Marx and MacKinder also contributed to the roots of globalization but Robertson is credited with introducing 'globality.'"
"In which decades did the term 'globalization' gain worldwide attention?","1970s and 1980s","1950s and 1960s","1960s and 1970s","1940s and 1950s","A","According to Held and McGrew (2002) the term 'globalization' gained worldwide attention in the 1960s and 1970s."
"What is the Arabic word for globalization examined by Scholte (2002)?","quanqiuhua","mondialisation","globalización","alam","D","The Arabic word is 'alam.' Quanqiuhua is Chinese mondialisation is French and globalización is Spanish."
"How did Ritzer (2008) define globalization?","Replacing the sovereign state system with multilateral governance","A multidimensional set of social processes that stretch social interdependencies","A process of competing nation-states for dominance","The spread of worldwide practices relations consciousness and organization of social life","D","Ritzer (2008) defined globalization as the spread of worldwide practices relations consciousness and organization of social life. The other options belong to Rosenberg and Held & McGrew."
"Who argued that globalization 'replaced the sovereign state system with a multilateral system of global governance'?","Justine Rosenberg","Roland Robertson","Held and McGrew","Ritzer","A","Justine Rosenberg argued that globalization replaced the sovereign state system with a multilateral system of global governance."
"Globalization 1.0 (1492-1800) is characterized by which of the following?","Formation of market integrations and MNCs","Mercantilism and the rise of the British economy","Active consumerism and labor migration","Technology and the internet driving trade","B","Globalization 1.0 (1492-1800) is characterized by mercantilism and the rise of the British economy including key inventions like the steam engine and printing press."
"Which phase of globalization is known as the 'Age of Pax Britannica'?","Globalization 1.0","None of the above","Globalization 3.0","Globalization 2.0","B","Globalization 2.0 (1800-1950) is known as the Age of Pax Britannica. It concluded with World War II and was marked by market integrations."
"Sociologists described Globalization 3.0 as part of which concept?","Mercantilism","Modernity","Imperialism","Post-colonialism","B","Sociologists described Globalization 3.0 (1950-2000) as part of modernity. This phase was driven by technology the internet MNCs and active consumerism."
"Under Realism what are the two main sources of POLITICAL power?","Resources and technology","Economic markets and manpower","Institutions and diplomacy","Military strength and territory","C","Under Realism political power comes from military strength and territory. Economic power includes market resources financial and manpower while technology includes logistics and systems."
"Which of the following is cited as a Realist example for opening economies?","Formation of the WTO","McDonald's expanding globally","The Bush Doctrine spreading liberal democracy","China joining the WTO","C","The Bush Doctrine — fighting terrorism by spreading liberal democracy — is cited as a Realist example of using political-military power. Condoleezza Rice described it as pragmatic realism."
"Under Liberalism which approach did the Philippines use in the West Philippine Sea dispute?","Military alliance with the US","Hard power through military vessels","Imposing trade sanctions on China","Protesting in the International Criminal Court","D","The Philippines used a Liberalist soft approach by protesting in the International Criminal Court — using negotiations and dialogues rather than military force."
"Which organization is cited under the 'International Organizations' factor of Liberal Globalization?","OPEC","ASEAN Economic Community","European Economic Community","McDonald's","A","OPEC is cited as an example of international organizations in Liberal Globalization as it represents global commitment to sustainability of oil supply. NATO and WTO are also cited."
"Who are the key founders of Idealism/Constructivism?","Hans Morgenthau and Kenneth Waltz","David Ricardo and Adam Smith","Alexander Wendt and Hugh Ruggie","Woodrow Wilson and Condoleezza Rice","C","Alexander Wendt and Hugh Ruggie are cited as the key founders of Idealism/Constructivism. Morgenthau and Waltz founded Realist thought."
"Which characteristic of globalization was specifically noted by Roland Robertson?","Creation and multiplication of social networks","Intensification and acceleration of human activities","Consciousness and awareness of people as primary actors","Expansion and stretching of social operations","C","Roland Robertson specifically noted consciousness and awareness — where people as primary actors of globalization impact growing outcomes through their daily actions."
"Which characteristic of globalization is most directly linked to the Fourth Industrial Revolution?","Creation and multiplication","Consciousness and awareness","Intensification and acceleration","Expansion and stretching","C","Intensification and acceleration of human activities is driven by the digital age as part of the Fourth Industrial Revolution."
"According to Kearney (1995) what does 'transnationalization' specifically refer to?","The spread of Western culture globally","The formation of multilateral governance systems","The replacement of national sovereignty with global institutions","When people or groups transcend from one nation to the next","D","Kearney (1995) argues transnationalization occurs when people or groups transcend from one nation to the next — distinct from both westernization and globalization."
"What year did China join the WTO?","1999","2000","2001","2003","C","China joined the WTO in 2001 making it a more competitive player in the global market. By 2017 China was ranked the #2 most powerful economy."
"According to Kukreja (2008) which event increased the number of emerging market players?","China's WTO accession","India's BPO growth","The collapse of the USSR","The formation of ASEAN","C","Kukreja (2008) identifies the collapse of the USSR as one of the three critical stages — causing communist governments to collapse and Eastern European nations to depart increasing emerging market players."
"What is the key driver of India's economy according to the reviewer?","Manufacturing and heavy industry","Oil and petroleum products","BPO and telecommunications","Rice production and agriculture","C","BPO (Business Process Outsourcing) and telecommunications are the key drivers of India's economy positioning it to join the ranks of most powerful economies."
